City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,7.2,EC,1738683575
328,ondo,7.1,4.8333,35.07,30,66,2.53,NG,1738683576
329,kruisfontein,-34.0033,24.7314,24.04,70,0,4.77,ZA,1738683577
330,dunedin,-45.8742,170.5036,10.45,98,100,0.89,NZ,1738683578
331,sabang,5.8933,95.3214,27.94,70,86,8.34,ID,1738683580
332,brookings,44.3114,-96.7984,-17.19,64,100,4.18,US,1738683581
333,pingliang,35.5392,106.6861,-5.0,53,0,3.68,CN,1738683582
334,yesilova,37.5081,29.7547,6.36,75,100,1.93,TR,1738683584
335,palmer,42.1584,-72.3287,3.84,59,75,7.72,US,1738683585
336,odda,60.0691,6.5457,3.9,98,97,5.13,NO,1738683586
337,nouadhibou,20.931,-17.0347,26.99,26,0,6.17,MR,1738683587
338,berdigestyakh,62.0989,126.6992,-27.11,96,99,3.7,RU,1738683588
339,yigo village,13.5361,144.8886,27.16,84,100,7.2,GU,1738683589
340,dakoro,14.5106,6.765,33.27,6,0,5.75,NE,1738683591
341,kyosai,34.8503,128.5886,-3.71,60,0,5.34,KR,1738683592
342,peniche,39.3558,-9.3811,16.78,59,100,2.42,PT,1738683593
343,la puebla de montalban,39.863,-4.3592,12.53,47,0,0.7,ES,1738683594
344,prado,-17.3411,-39.2208,28.89,62,9,4.92,BR,1738683316
345,tremp,42.167,0.8949,13.24,40,0,1.81,ES,1738683597
346,abqaiq,25.9371,49.6776,14.91,30,0,3.6,SA,1738683599
347,maisi,43.0395,41.2621,-0.23,96,100,1.15,GE,1738683600
348,novyy urengoy,66.0833,76.6333,-26.86,100,100,2.53,RU,1738683601
349,tenenkou,14.4572,-4.9169,31.45,10,100,5.01,ML,1738683602
350,makaha,21.4694,-158.2175,19.95,83,20,3.09,US,1738683603
351,qaryat suluq,31.6682,20.2521,15.98,53,2,6.55,LY,1738683604
352,puerto armuelles,8.2833,-82.8667,26.72,56,61,0.45,PA,1738683605
353,tanjung selor,2.8372,117.3642,23.59,97,99,0.45,ID,1738683606
354,mili,6.0815,171.735,26.82,84,78,9.0,MH,1738683607
355,haiku-pauwela,20.9219,-156.3051,18.44,84,13,3.13,US,1738683609
356,papao,-17.75,-149.55,24.82,70,51,2.77,PF,1738683610
357,ambodifotatra,-16.9833,49.85,29.03,61,75,1.03,MG,1738683611
358,ippy,6.2679,21.2247,37.47,11,75,1.66,CF,1738683612
359,salinopolis,-0.6136,-47.3561,27.83,76,62,3.45,BR,1738683613
360,nemuro,43.3236,145.575,-0.51,76,11,7.85,JP,1738683614
361,taksimo,56.3444,114.8794,-26.11,97,100,0.72,RU,1738683615
362,launceston,-41.45,147.1667,14.8,72,75,7.72,AU,1738683616
363,vung tau,10.346,107.0843,23.25,79,43,9.67,VN,1738683331
